photo_number,id_number,collection_date,acclimation_time_h,water_type,temperature_c,exposure_time_s,colony_id,initial_weight_g,post_acclimation_weight_g,X48hr_weight,initial_rgb,X48hr_rgb,attachment,mold_cover,id_number...16,final_weight_g,survival,ChangeWetWeight
2,f_12_30_1,22-Oct,48,freshwater,12,120,1,7.11,10.3,8.2,155.908,150.046,1,0,f_12_30_1,7.33,1,-2.97
3,f_12_30_2,22-Oct,48,freshwater,12,120,2,6.73,11.5,7.23,158.667,158.673,1,0,f_12_30_2,6.46,1,-5.04
4,f_12_30_3,22-Oct,48,freshwater,12,120,3,6.62,8.7,8.6,153.224,173.9,1,0,f_12_30_3,7.77,1,-0.93
5,f_12_30_4,22-Oct,48,freshwater,12,120,4,6.66,7.91,7.1,168.58,174.41,0,3,f_12_30_4,1.96,1,-5.95
6,f_12_30_5,22-Oct,48,freshwater,12,120,5,7.15,8.16,8.58,153.203,175.651,0,2,f_12_30_5,2.19,0,-5.97
7,f_12_60_1,22-Oct,48,freshwater,12,60,1,7.13,10.7,10.4,172.258,175.41,1,1,f_12_60_1,8.69,1,-2.01
8,f_12_60_2,22-Oct,48,freshwater,12,60,2,6.85,9.3,9.3,134.381,127.761,1,0,f_12_60_2,7.52,1,-1.78
9,f_12_60_3,22-Oct,48,freshwater,12,60,3,6.9,9.1,8.1,163.509,136.34,0,4,f_12_60_3,1.63,0,-7.47
10,f_12_60_4,22-Oct,48,freshwater,12,60,4,7.22,9.63,9.4,157.234,158.302,0,5,f_12_60_4,1.62,0,-8.01
11,f_12_60_5,22-Oct,48,freshwater,12,60,5,6.75,7.43,6.83,174.428,158.057,0,1,f_12_60_5,1.19,0,-6.24
12,f_50_30_1,22-Oct,48,freshwater,50,120,1,6.74,9.89,9.2,174.214,176.119,0,5,f_50_30_1,1.04,0,-8.85
13,f_50_30_2,22-Oct,48,freshwater,50,120,2,6.54,10,10.06,134.679,163.79,0,5,f_50_30_2,4.46,0,-5.54
14,f_50_30_3,22-Oct,48,freshwater,50,120,3,7.2,10.3,9.2,148.214,161.987,0,0,f_50_30_3,6.39,0,-3.91
15,f_50_30_4,22-Oct,48,freshwater,50,120,4,7.27,11.97,10.41,175.503,173.555,0,5,f_50_30_4,4.26,0,-7.71
16,f_50_30_5,22-Oct,48,freshwater,50,120,5,7.19,7.9,8.11,139.899,142.514,0,0,f_50_30_5,2.04,0,-5.86
17,f_50_60_1,22-Oct,48,freshwater,50,60,1,7.47,12.09,10.1,161.99,164.09,0,4,f_50_60_1,8.99,0,-3.1
18,f_50_60_2,22-Oct,48,freshwater,50,60,2,7.43,11.88,9.7,164.882,154.416,0,1,f_50_60_2,4.87,0,-7.01
19,f_50_60_3,22-Oct,48,freshwater,50,60,3,6.88,10.41,9.8,172.286,160.589,0,4,f_50_60_3,4.32,0,-6.09
20,f_50_60_4,22-Oct,48,freshwater,50,60,4,7.47,9.3,8.4,168.787,158.806,0,5,f_50_60_4,4.67,0,-4.63
21,f_50_60_5,22-Oct,48,freshwater,50,60,5,7.49,8.15,8.6,142.555,138.402,0,5,f_50_60_5,2.85,0,-5.3
22,f_70_30_1,22-Oct,48,freshwater,70,120,1,7.15,10.71,9.3,151.241,150.742,0,5,f_70_30_1,3.59,0,-7.12
23,f_70_30_2,22-Oct,48,freshwater,70,120,2,6.64,9.88,9.1,155.434,164.937,0,5,f_70_30_2,1.85,0,-8.03
24,f_70_30_3,22-Oct,48,freshwater,70,120,3,7.11,7.94,8.11,162.666,180.863,0,5,f_70_30_3,5.2,0,-2.74
25,f_70_30_4,22-Oct,48,freshwater,70,120,4,6.94,9,9.4,150.664,175.845,0,3,f_70_30_4,3.58,0,-5.42
26,f_70_30_5,22-Oct,48,freshwater,70,120,5,7.3,7.37,7.26,163.737,175.665,0,2,f_70_30_5,3.41,0,-3.96
27,f_70_60_1,22-Oct,48,freshwater,70,60,1,6.86,9.06,10.24,145.322,159.495,0,3,f_70_60_1,4.34,0,-4.72
28,f_70_60_2,22-Oct,48,freshwater,70,60,2,6.53,11.1,9.4,170.924,193.183,0,5,f_70_60_2,3.48,0,-7.62
29,f_70_60_3,22-Oct,48,freshwater,70,60,3,7.1,12.07,10.6,171.426,151.472,0,1,f_70_60_3,4.22,0,-7.85
30,f_70_60_4,22-Oct,48,freshwater,70,60,4,6.54,7.5,8.2,186.438,183.675,0,5,f_70_60_4,4.6,0,-2.9
31,f_70_60_5,22-Oct,48,freshwater,70,60,5,7.37,8.22,7.68,168.7,189.945,0,1,f_70_60_5,4.34,0,-3.88
32,f_90_30_1,22-Oct,48,freshwater,90,120,1,6.66,8.54,8.3,150.669,150.118,0,5,f_90_30_1,8.93,0,0.39
33,f_90_30_2,22-Oct,48,freshwater,90,120,2,6.5,10.6,9,163.215,146.169,0,5,f_90_30_2,2.9,0,-7.7
34,f_90_30_3,22-Oct,48,freshwater,90,120,3,6.7,7.1,7.33,174.103,200.298,0,4,f_90_30_3,3.41,0,-3.69
35,f_90_30_4,22-Oct,48,freshwater,90,120,4,7.22,9.2,9.2,137.091,165.791,0,5,f_90_30_4,3.61,0,-5.59
36,f_90_30_5,22-Oct,48,freshwater,90,120,5,6.75,7.33,6.93,144.818,160.082,0,2,f_90_30_5,2.61,0,-4.72
37,f_90_60_1,22-Oct,48,freshwater,90,60,1,6.94,11.72,10.7,134.802,167.271,0,5,f_90_60_1,1.59,0,-10.13
38,f_90_60_2,22-Oct,48,freshwater,90,60,2,6.95,8.9,8.79,165.29,176.188,0,5,f_90_60_2,3.2,0,-5.7
39,f_90_60_3,22-Oct,48,freshwater,90,60,3,6.7,8.87,8.4,181.892,175.198,0,4,f_90_60_3,4.21,0,-4.66
40,f_90_60_4,22-Oct,48,freshwater,90,60,4,7.2,10.4,11.44,151.486,143.751,0,5,f_90_60_4,4.47,0,-5.93
41,f_90_60_5,22-Oct,48,freshwater,90,60,5,6.95,7.65,7.52,179.7,167.594,0,4,f_90_60_5,3.43,0,-4.22
42,s_12_30_1,22-Oct,48,seawater,12,120,1,7.26,9.3,9.17,156.905,153.643,1,3,s_12_30_1,4.84,0,-4.46
43,s_12_30_2,22-Oct,48,seawater,12,120,2,6.97,11.7,11.6,158.062,157.715,1,1,s_12_30_2,7.86,1,-3.84
44,s_12_30_3,22-Oct,48,seawater,12,120,3,7.2,9.4,8.5,138.169,133.803,0,3,s_12_30_3,0.76,0,-8.64
